Detroit26163_-83.1024_42.3834
GrandRapids26081_-85.6562_42.962
Flint26049_-83.6922_43.0235
Lansing26065_-84.5601_42.7142
AnnArbor26161_-83.7312_42.2755
Kalamazoo26077_-85.5882_42.2749
Muskegon26121_-86.2563_43.2281
Warren26099_-83.027_42.4934
SterlingHeights26099_-83.0305_42.5809
SouthLyon26125_-83.6526_42.4614
Saginaw26145_-83.9501_43.4199
Holland26139_-86.0985_42.7677
Dearborn26163_-83.2129_42.3127
Livonia26163_-83.3733_42.3972
Jackson26075_-84.4037_42.2431
Troy26125_-83.1457_42.5818
PortHuron26147_-82.4387_42.9822
Westland26163_-83.3805_42.3192
FarmingtonHills26125_-83.3771_42.486
BattleCreek26025_-85.2296_42.2986
Wyoming26081_-85.7066_42.8909
RochesterHills26125_-83.1563_42.6645
Southfield26125_-83.2605_42.4765
BayCity26017_-83.8886_43.5903
Taylor26163_-83.2688_42.226
Novi26125_-83.4893_42.4786
Pontiac26125_-83.2878_42.6493
RoyalOak26125_-83.1539_42.5084
BentonHarbor26021_-86.4488_42.1159
St.ClairShores26099_-82.8957_42.4921
Midland26111_-84.2319_43.6241
DearbornHeights26163_-83.2769_42.3164
Kentwood26081_-85.5925_42.8852
TraverseCity26055_-85.6035_44.7547
Portage26077_-85.5906_42.2
Monroe26115_-83.385_41.9154
EastLansing26065_-84.4835_42.748
Roseville26099_-82.9369_42.5074
Adrian26091_-84.0446_41.8994
LincolnPark26163_-83.1811_42.2432
MountPleasant26073_-84.7759_43.5966
Eastpointe26099_-82.9461_42.4657
MadisonHeights26125_-83.1034_42.5073
OakPark26125_-83.1824_42.4649
Southgate26163_-83.2057_42.2047
Burton26049_-83.6175_42.9974
ForestHills26081_-85.4895_42.9577
AllenPark26163_-83.2107_42.2595
Marquette26103_-87.4082_46.544
GardenCity26163_-83.3412_42.3244
Holt26065_-84.5307_42.6416
Walker26081_-85.7446_42.9853
Wyandotte26163_-83.1558_42.2113
AuburnHills26125_-83.2447_42.6735
NortonShores26121_-86.2519_43.1621
Waverly26045_-84.6353_42.7401
Inkster26163_-83.3148_42.2935
Okemos26065_-84.4135_42.7057
Romulus26163_-83.366_42.2237
Hamtramck26163_-83.056_42.3954
Birmingham26125_-83.2166_42.5447
Owosso26155_-84.176_42.9955
Allendale26139_-85.9509_42.9851
Ypsilanti26161_-83.6205_42.2437
Escanaba26041_-87.09_45.7477
Ferndale26125_-83.1314_42.4592
Haslett26065_-84.402_42.7525
Coldwater26023_-84.9989_41.9465
IronMountain26043_-88.0599_45.8275
Trenton26163_-83.1929_42.1394
Jenison26139_-85.8269_42.9063
Wayne26163_-83.3877_42.2774
Cutlerville26081_-85.6739_42.8405
HazelPark26125_-83.0977_42.4619
MountClemens26099_-82.882_42.5976
Alma26057_-84.6556_43.38
Grandville26081_-85.7564_42.9003
Houghton26061_-88.5672_47.1119
Northview26081_-85.6016_43.0427
Berkley26125_-83.1853_42.4986
GrossePointeWoods26163_-82.8987_42.4366
Fraser26099_-82.9496_42.5388
Ionia26067_-85.0727_42.9772
Wixom26125_-83.5346_42.5244
BigRapids26107_-85.4806_43.6992
HarperWoods26163_-82.9292_42.439
Alpena26007_-83.4399_45.074
Rochester26125_-83.1198_42.6866
Lapeer26087_-83.3254_43.0447
Sturgis26149_-85.4182_41.7995
Charlotte26045_-84.8304_42.5662
Woodhaven26163_-83.2374_42.132
SaultSte.Marie26033_-84.3723_46.4817
NewBaltimore26099_-82.7398_42.6903
Ishpeming26103_-87.6658_46.4862
Riverview26163_-83.1935_42.1728
EastGrandRapids26081_-85.6088_42.9464
Otsego26005_-85.6979_42.4575
Cadillac26165_-85.4163_44.2494
Clawson26125_-83.1504_42.5367
Fenton26049_-83.7144_42.7994
Hillsdale26059_-84.6356_41.9266
Niles26021_-86.2473_41.8346
Whitehall26121_-86.3406_43.4003
GrossePointePark26163_-82.9288_42.3794
GrandHaven26139_-86.2201_43.0553
HighlandPark26163_-83.0977_42.4052
Ludington26105_-86.4434_43.9573
MuskegonHeights26121_-86.242_43.2024
ThreeRivers26149_-85.6281_41.9465
Farmington26125_-83.3784_42.4614
ComstockPark26081_-85.6779_43.0438
BeverlyHills26125_-83.2423_42.522
Melvindale26163_-83.1782_42.2802
FlatRock26163_-83.2716_42.0991
Marysville26147_-82.4806_42.9084
Greenville26117_-85.2533_43.1797
Howell26093_-83.9339_42.6078
Ecorse26163_-83.1399_42.2489
